label,limit_threshold,bandwidth_refill,compute_ceiling,max_boost,decay,adjust_interval,slo_rate,ir_gt_1,ir_gt_1_25,ir_gt_1_5,limited_ratio,drop_rate,limiter_events_per_task,score,signature
C196,1.05,1.0,1.2,1.2,0.02,16,0.5052631578947369,0.4766355140186916,0.009345794392523364,0.009345794392523364,0.06315789473684211,0.48947368421052634,364.94736842105266,-0.24768814559763896,lt=1.050 | br=1.000 | cc=1.200 | mb=1.200 | dec=0.020 | adj=16
C204,1.05,1.0,1.3,1.2,0.02,16,0.5157894736842106,0.48623853211009177,0.0,0.0,0.07368421052631578,0.4842105263157895,401.5263157894737,-0.24939642684693383,lt=1.050 | br=1.000 | cc=1.300 | mb=1.200 | dec=0.020 | adj=16
C176,1.05,0.85,1.2,1.4,0.02,16,0.5263157894736842,0.5225225225225225,0.0,0.0,0.03684210526315789,0.47368421052631576,206.46315789473684,-0.25146989094357514,lt=1.050 | br=0.850 | cc=1.200 | mb=1.400 | dec=0.020 | adj=16
C252,1.1,0.85,1.3,1.2,0.02,16,0.5,0.4672897196261682,0.028037383177570093,0.009345794392523364,0.07368421052631578,0.49473684210526314,421.86315789473684,-0.2515002459419577,lt=1.100 | br=0.850 | cc=1.300 | mb=1.200 | dec=0.020 | adj=16
C275,1.1,1.0,1.3,1.2,0.02,12,0.5105263157894737,0.4954128440366973,0.027522935779816515,0.0,0.05789473684210526,0.4842105263157895,325.4894736842105,-0.25593915982617094,lt=1.100 | br=1.000 | cc=1.300 | mb=1.200 | dec=0.020 | adj=12
C169,1.05,0.85,1.2,1.2,0.01,12,0.5210526315789473,0.5089285714285714,0.03571428571428571,0.008928571428571428,0.06315789473684211,0.47368421052631576,398.59473684210525,-0.256296992481203,lt=1.050 | br=0.850 | cc=1.200 | mb=1.200 | dec=0.010 | adj=12
C256,1.1,0.85,1.3,1.4,0.02,16,0.5105263157894737,0.48148148148148145,0.009259259259259259,0.0,0.08421052631578947,0.48947368421052634,443.7263157894737,-0.25779727095516564,lt=1.100 | br=0.850 | cc=1.300 | mb=1.400 | dec=0.020 | adj=16
C148,1.05,0.7,1.2,1.2,0.02,16,0.5157894736842106,0.5,0.02727272727272727,0.0,0.06315789473684211,0.4842105263157895,363.6842105263158,-0.25789473684210523,lt=1.050 | br=0.700 | cc=1.200 | mb=1.200 | dec=0.020 | adj=16
C153,1.05,0.7,1.3,1.2,0.01,12,0.5157894736842106,0.5,0.0,0.0,0.06315789473684211,0.4842105263157895,377.13684210526316,-0.25789473684210523,lt=1.050 | br=0.700 | cc=1.300 | mb=1.200 | dec=0.010 | adj=12
C180,1.05,0.85,1.3,1.2,0.02,16,0.5263157894736842,0.5135135135135135,0.009009009009009009,0.0,0.06842105263157895,0.47368421052631576,368.14736842105265,-0.2582503556187767,lt=1.050 | br=0.850 | cc=1.300 | mb=1.200 | dec=0.020 | adj=16
C268,1.1,1.0,1.2,1.2,0.02,16,0.5210526315789473,0.5135135135135135,0.0,0.0,0.05263157894736842,0.4789473684210526,269.7526315789474,-0.2582503556187767,lt=1.100 | br=1.000 | cc=1.200 | mb=1.200 | dec=0.020 | adj=16
