label,limit_threshold,bandwidth_refill,compute_ceiling,max_boost,decay,adjust_interval,load,seed,slo_rate,drop_rate,limited_ratio,ir_gt_1,ir_gt_1_25,ir_gt_1_5
C28,0.95,0.85,1.2,1.2,0.02,16,190,7,0.5263157894736842,0.47368421052631576,0.3526315789473684,0.5135135135135135,0.0,0.0
C29,0.95,0.85,1.2,1.4,0.01,12,190,7,0.5210526315789473,0.4789473684210526,0.33157894736842103,0.5727272727272728,0.0,0.0
C30,0.95,0.85,1.2,1.4,0.01,16,190,7,0.5105263157894737,0.4842105263157895,0.34210526315789475,0.5229357798165137,0.009174311926605505,0.009174311926605505
C31,0.95,0.85,1.2,1.4,0.02,12,190,7,0.4789473684210526,0.5157894736842106,0.3473684210526316,0.5094339622641509,0.03773584905660377,0.02830188679245283
C32,0.95,0.85,1.2,1.4,0.02,16,190,7,0.4789473684210526,0.5052631578947369,0.3631578947368421,0.5333333333333333,0.02857142857142857,0.02857142857142857
C33,0.95,0.85,1.3,1.2,0.01,12,190,7,0.48947368421052634,0.5052631578947369,0.3473684210526316,0.6285714285714286,0.01904761904761905,0.009523809523809525
C34,0.95,0.85,1.3,1.2,0.01,16,190,7,0.5052631578947369,0.48947368421052634,0.3684210526315789,0.6055045871559633,0.01834862385321101,0.009174311926605505
C35,0.95,0.85,1.3,1.2,0.02,12,190,7,0.5105263157894737,0.48947368421052634,0.32105263157894737,0.5,0.027777777777777776,0.0
C36,0.95,0.85,1.3,1.2,0.02,16,190,7,0.49473684210526314,0.5,0.3526315789473684,0.5420560747663551,0.018691588785046728,0.018691588785046728
C37,0.95,0.85,1.3,1.4,0.01,12,190,7,0.49473684210526314,0.49473684210526314,0.3473684210526316,0.5420560747663551,0.037383177570093455,0.018691588785046728
C38,0.95,0.85,1.3,1.4,0.01,16,190,7,0.5,0.49473684210526314,0.35789473684210527,0.5794392523364486,0.04672897196261682,0.0
C39,0.95,0.85,1.3,1.4,0.02,12,190,7,0.5052631578947369,0.48947368421052634,0.34210526315789475,0.5555555555555556,0.009259259259259259,0.009259259259259259
C40,0.95,0.85,1.3,1.4,0.02,16,190,7,0.4842105263157895,0.5105263157894737,0.33157894736842103,0.5754716981132075,0.08490566037735849,0.018867924528301886
C41,0.95,0.85,1.4,1.2,0.01,12,190,7,0.5105263157894737,0.4842105263157895,0.3473684210526316,0.5321100917431193,0.03669724770642202,0.0
C42,0.95,0.85,1.4,1.2,0.01,16,190,7,0.49473684210526314,0.5,0.3473684210526316,0.6132075471698113,0.018867924528301886,0.009433962264150943
C43,0.95,0.85,1.4,1.2,0.02,12,190,7,0.5368421052631579,0.4631578947368421,0.34210526315789475,0.4778761061946903,0.0,0.0
C44,0.95,0.85,1.4,1.2,0.02,16,190,7,0.5,0.49473684210526314,0.3368421052631579,0.5566037735849056,0.018867924528301886,0.009433962264150943
C45,0.95,0.85,1.4,1.4,0.01,12,190,7,0.5105263157894737,0.48947368421052634,0.3526315789473684,0.5045871559633027,0.009174311926605505,0.0
C46,0.95,0.85,1.4,1.4,0.01,16,190,7,0.48947368421052634,0.5105263157894737,0.3263157894736842,0.5471698113207547,0.09433962264150944,0.009433962264150943
C47,0.95,0.85,1.4,1.4,0.02,12,190,7,0.5,0.48947368421052634,0.3473684210526316,0.5185185185185185,0.037037037037037035,0.009259259259259259
C48,0.95,0.85,1.4,1.4,0.02,16,190,7,0.5105263157894737,0.48947368421052634,0.33157894736842103,0.5321100917431193,0.0,0.0
C49,0.95,1.0,1.2,1.2,0.01,12,190,7,0.48947368421052634,0.5,0.35789473684210527,0.4766355140186916,0.028037383177570093,0.009345794392523364
C50,0.95,1.0,1.2,1.2,0.01,16,190,7,0.5263157894736842,0.47368421052631576,0.34210526315789475,0.4642857142857143,0.0,0.0
C51,0.95,1.0,1.2,1.2,0.02,12,190,7,0.5157894736842106,0.4842105263157895,0.3263157894736842,0.5229357798165137,0.0,0.0
C52,0.95,1.0,1.2,1.2,0.02,16,190,7,0.5157894736842106,0.4842105263157895,0.3526315789473684,0.5321100917431193,0.027522935779816515,0.0
C53,0.95,1.0,1.2,1.4,0.01,12,190,7,0.5263157894736842,0.47368421052631576,0.3368421052631579,0.6306306306306306,0.009009009009009009,0.0
C54,0.95,1.0,1.2,1.4,0.01,16,190,7,0.4789473684210526,0.5105263157894737,0.3473684210526316,0.5333333333333333,0.05714285714285714,0.01904761904761905
C55,0.95,1.0,1.2,1.4,0.02,12,190,7,0.48947368421052634,0.5052631578947369,0.3631578947368421,0.5754716981132075,0.009433962264150943,0.009433962264150943
C56,0.95,1.0,1.2,1.4,0.02,16,190,7,0.5210526315789473,0.4789473684210526,0.33157894736842103,0.5272727272727272,0.00909090909090909,0.0
C57,0.95,1.0,1.3,1.2,0.01,12,190,7,0.5368421052631579,0.4631578947368421,0.37894736842105264,0.5132743362831859,0.0,0.0
C58,0.95,1.0,1.3,1.2,0.01,16,190,7,0.49473684210526314,0.5,0.3473684210526316,0.5233644859813084,0.018691588785046728,0.009345794392523364
C59,0.95,1.0,1.3,1.2,0.02,12,190,7,0.5157894736842106,0.4842105263157895,0.33157894736842103,0.5412844036697247,0.009174311926605505,0.0
C60,0.95,1.0,1.3,1.2,0.02,16,190,7,0.4789473684210526,0.5157894736842106,0.3473684210526316,0.5,0.03773584905660377,0.02830188679245283
C61,0.95,1.0,1.3,1.4,0.01,12,190,7,0.5157894736842106,0.4842105263157895,0.3368421052631579,0.5137614678899083,0.027522935779816515,0.0
C62,0.95,1.0,1.3,1.4,0.01,16,190,7,0.5052631578947369,0.4842105263157895,0.33157894736842103,0.44954128440366975,0.01834862385321101,0.01834862385321101
C63,0.95,1.0,1.3,1.4,0.02,12,190,7,0.5157894736842106,0.4842105263157895,0.35789473684210527,0.5688073394495413,0.009174311926605505,0.0
C64,0.95,1.0,1.3,1.4,0.02,16,190,7,0.5210526315789473,0.4789473684210526,0.3631578947368421,0.509090909090909,0.00909090909090909,0.0
C65,0.95,1.0,1.4,1.2,0.01,12,190,7,0.5052631578947369,0.48947368421052634,0.3157894736842105,0.5185185185185185,0.009259259259259259,0.009259259259259259
C66,0.95,1.0,1.4,1.2,0.01,16,190,7,0.5157894736842106,0.4789473684210526,0.35789473684210527,0.5181818181818182,0.02727272727272727,0.00909090909090909
C67,0.95,1.0,1.4,1.2,0.02,12,190,7,0.5052631578947369,0.49473684210526314,0.3736842105263158,0.5420560747663551,0.028037383177570093,0.0
C68,0.95,1.0,1.4,1.2,0.02,16,190,7,0.5157894736842106,0.4842105263157895,0.3473684210526316,0.5229357798165137,0.01834862385321101,0.0
C69,0.95,1.0,1.4,1.4,0.01,12,190,7,0.5052631578947369,0.48947368421052634,0.35789473684210527,0.5412844036697247,0.045871559633027525,0.009174311926605505
C70,0.95,1.0,1.4,1.4,0.01,16,190,7,0.48947368421052634,0.5,0.3526315789473684,0.5094339622641509,0.018867924528301886,0.018867924528301886
C71,0.95,1.0,1.4,1.4,0.02,12,190,7,0.5263157894736842,0.47368421052631576,0.3526315789473684,0.5225225225225225,0.0,0.0
C72,0.95,1.0,1.4,1.4,0.02,16,190,7,0.531578947368421,0.46842105263157896,0.3368421052631579,0.5752212389380531,0.008849557522123894,0.0
C73,1.0,0.7,1.2,1.2,0.01,12,190,7,0.49473684210526314,0.5052631578947369,0.3631578947368421,0.5188679245283019,0.03773584905660377,0.0
C74,1.0,0.7,1.2,1.2,0.01,16,190,7,0.5210526315789473,0.4789473684210526,0.3631578947368421,0.5545454545454546,0.00909090909090909,0.0
C75,1.0,0.7,1.2,1.2,0.02,12,190,7,0.5105263157894737,0.48947368421052634,0.33157894736842103,0.5,0.009259259259259259,0.0
C76,1.0,0.7,1.2,1.2,0.02,16,190,7,0.5,0.49473684210526314,0.34210526315789475,0.46296296296296297,0.009259259259259259,0.009259259259259259
C77,1.0,0.7,1.2,1.4,0.01,12,190,7,0.48947368421052634,0.49473684210526314,0.35789473684210527,0.5420560747663551,0.037383177570093455,0.028037383177570093
C78,1.0,0.7,1.2,1.4,0.01,16,190,7,0.5368421052631579,0.4631578947368421,0.3263157894736842,0.48214285714285715,0.008928571428571428,0.0
C79,1.0,0.7,1.2,1.4,0.02,12,190,7,0.48947368421052634,0.5052631578947369,0.3526315789473684,0.5754716981132075,0.0660377358490566,0.018867924528301886
C80,1.0,0.7,1.2,1.4,0.02,16,190,7,0.5210526315789473,0.4789473684210526,0.34210526315789475,0.4818181818181818,0.00909090909090909,0.0
