name,alpha,beta,gamma,baseline_slo,sandbox_slo,slo_gain,baseline_ir_gt_1_25,sandbox_ir_gt_1_25,ir_gain,baseline_drop,sandbox_drop,drop_gain,baseline_limited_ratio,sandbox_limited_ratio,limited_gain,baseline_avg_interference,sandbox_avg_interference,baseline_ir_gt_1_5,sandbox_ir_gt_1_5,baseline_limiter_events_per_task,sandbox_limiter_events_per_task
minus2,0.833,0.882,0.784,0.48947368421052634,0.5,0.010526315789473661,0.0990990990990991,0.037037037037037035,0.062062062062062065,0.4789473684210526,0.49473684210526314,-0.01578947368421052,0.0,0.09473684210526316,-0.09473684210526316,0.9984977477477478,0.9979091820987654,0.06306306306306306,0.009259259259259259,0.0,535.3052631578947
minus4,0.816,0.864,0.768,0.4421052631578947,0.5157894736842106,0.07368421052631585,0.14285714285714285,0.01818181818181818,0.12467532467532466,0.5157894736842106,0.4842105263157895,0.031578947368421095,0.0,0.07894736842105263,-0.07894736842105263,1.0185376984126984,0.9904938636363636,0.08571428571428572,0.0,0.0,438.96315789473687
minus6,0.799,0.846,0.752,0.46842105263157896,0.5105263157894737,0.04210526315789476,0.08490566037735849,0.027522935779816515,0.05738272459754197,0.5105263157894737,0.4842105263157895,0.026315789473684237,0.0,0.07894736842105263,-0.07894736842105263,0.9992314465408805,0.9819100917431193,0.05660377358490566,0.009174311926605505,0.0,454.5210526315789
minus8,0.782,0.828,0.736,0.46842105263157896,0.5263157894736842,0.05789473684210522,0.10909090909090909,0.009009009009009009,0.10008190008190007,0.48947368421052634,0.47368421052631576,0.015789473684210575,0.0,0.06842105263157895,-0.06842105263157895,1.006372196969697,0.9774226726726727,0.08181818181818182,0.0,0.0,393.22105263157897
minus10,0.765,0.81,0.72,0.4631578947368421,0.46842105263157896,0.0052631578947368585,0.08411214953271028,0.02,0.06411214953271027,0.5052631578947369,0.5263157894736842,-0.021052631578947323,0.0,0.05789473684210526,-0.05789473684210526,1.0144496884735204,0.994633,0.06542056074766354,0.01,0.0,342.5842105263158
plus2,0.867,0.918,0.816,0.49473684210526314,0.5157894736842106,0.021052631578947434,0.07272727272727272,0.01818181818181818,0.05454545454545454,0.4842105263157895,0.4842105263157895,0.0,0.0,0.07368421052631578,-0.07368421052631578,0.9971667424242424,0.9763909848484849,0.03636363636363636,0.0,0.0,409.0473684210526
plus4,0.884,0.936,0.832,0.49473684210526314,0.5157894736842106,0.021052631578947434,0.09821428571428571,0.01818181818181818,0.08003246753246754,0.47368421052631576,0.4842105263157895,-0.010526315789473717,0.0,0.08421052631578947,-0.08421052631578947,0.9915674107142858,0.962844696969697,0.05357142857142857,0.0,0.0,469.15263157894736
plus6,0.901,0.954,0.848,0.46842105263157896,0.5157894736842106,0.047368421052631615,0.08256880733944955,0.009174311926605505,0.07339449541284404,0.48947368421052634,0.4842105263157895,0.0052631578947368585,0.0,0.06315789473684211,-0.06315789473684211,0.992451758409786,0.9816358562691131,0.07339449541284404,0.0,0.0,358.5578947368421
plus8,0.918,0.972,0.864,0.4421052631578947,0.5105263157894737,0.068421052631579,0.08653846153846154,0.00909090909090909,0.07744755244755244,0.5157894736842106,0.4842105263157895,0.031578947368421095,0.0,0.06842105263157895,-0.06842105263157895,1.004758173076923,0.974030303030303,0.07692307692307693,0.0,0.0,393.03684210526313
plus10,0.935,0.99,0.88,0.49473684210526314,0.48947368421052634,-0.005263157894736803,0.09009009009009009,0.037037037037037035,0.05305305305305305,0.4789473684210526,0.49473684210526314,-0.01578947368421052,0.0,0.09473684210526316,-0.09473684210526316,0.9960533033033033,0.9949591820987654,0.036036036036036036,0.027777777777777776,0.0,510.0842105263158
